tanggal,pasar,curah_hujan_mm,suhu_avg,suhu_max,suhu_min
2024-11-25,Pasar Margahayu,2.1,24.1,28.4,21.5
2024-11-26,Pasar Margahayu,8.0,24.1,29.0,20.6
2024-11-27,Pasar Margahayu,5.1,23.6,29.6,20.2
2024-11-28,Pasar Margahayu,11.2,24.3,29.4,21.3
2024-11-29,Pasar Margahayu,2.5,24.5,29.4,20.3
2024-11-30,Pasar Margahayu,6.9,24.3,30.2,19.8
2024-12-01,Pasar Margahayu,13.7,24.3,30.1,20.4
2024-12-02,Pasar Margahayu,36.9,23.5,29.3,20.3
2024-12-03,Pasar Margahayu,25.5,22.9,25.6,21.1
2024-12-04,Pasar Margahayu,15.3,23.0,26.2,20.9
2024-12-05,Pasar Margahayu,8.3,24.0,27.7,21.8
2024-12-06,Pasar Margahayu,6.4,24.0,26.9,22.2
2024-12-07,Pasar Margahayu,3.1,24.2,28.6,21.0
2024-12-08,Pasar Margahayu,1.1,24.0,27.7,20.4
2024-12-09,Pasar Margahayu,2.8,23.7,27.5,21.4
2024-12-10,Pasar Margahayu,3.5,24.5,29.6,20.5
2024-12-11,Pasar Margahayu,11.3,24.5,28.8,21.8
2024-12-12,Pasar Margahayu,1.0,25.6,30.5,21.8
2024-12-13,Pasar Margahayu,3.8,25.2,29.8,22.5
2024-12-14,Pasar Margahayu,5.2,24.5,28.0,22.4
2024-12-15,Pasar Margahayu,14.1,23.3,27.5,21.7
2024-12-16,Pasar Margahayu,8.3,23.7,29.1,21.2
2024-12-17,Pasar Margahayu,5.0,24.2,28.2,21.0
2024-12-18,Pasar Margahayu,5.1,23.8,28.8,20.2
2024-12-19,Pasar Margahayu,1.3,24.8,30.3,20.4
2024-12-20,Pasar Margahayu,9.3,24.3,29.2,21.5
2024-12-21,Pasar Margahayu,2.7,24.5,28.5,22.1
2024-12-22,Pasar Margahayu,13.0,23.6,27.8,21.1
2024-12-23,Pasar Margahayu,12.0,23.4,28.3,20.0
2024-12-24,Pasar Margahayu,20.9,23.0,25.7,21.4
2024-12-25,Pasar Margahayu,8.3,23.6,29.3,20.9
2024-12-26,Pasar Margahayu,0.4,24.4,29.0,20.0
2024-12-27,Pasar Margahayu,3.2,24.3,28.9,20.3
2024-12-28,Pasar Margahayu,0.8,24.6,29.9,20.3
2024-12-29,Pasar Margahayu,0.6,23.8,28.6,19.7
2024-12-30,Pasar Margahayu,1.6,23.7,28.7,20.8
2024-12-31,Pasar Margahayu,0.6,24.5,28.8,21.5
2025-01-01,Pasar Margahayu,2.7,23.4,28.7,20.4
2025-01-02,Pasar Margahayu,0.8,24.0,29.4,19.5
2025-01-03,Pasar Margahayu,4.7,24.2,30.2,18.1
2025-01-04,Pasar Margahayu,15.2,23.1,28.5,18.3
2025-01-05,Pasar Margahayu,12.8,23.2,27.5,19.9
2025-01-06,Pasar Margahayu,10.0,23.0,29.2,18.0
2025-01-07,Pasar Margahayu,19.4,23.4,28.6,19.9
2025-01-08,Pasar Margahayu,4.6,23.1,26.0,20.3
2025-01-09,Pasar Margahayu,6.6,22.0,24.7,19.7
2025-01-10,Pasar Margahayu,10.7,23.2,28.4,19.5
2025-01-11,Pasar Margahayu,12.7,23.7,29.0,20.7
2025-01-12,Pasar Margahayu,3.3,23.8,28.9,20.3
2025-01-13,Pasar Margahayu,6.5,23.7,29.0,20.8
2025-01-14,Pasar Margahayu,16.1,22.7,26.0,19.8
2025-01-15,Pasar Margahayu,7.8,23.8,28.4,20.8
2025-01-16,Pasar Margahayu,11.0,24.0,28.4,20.9
2025-01-17,Pasar Margahayu,14.0,23.4,27.3,21.1
2025-01-18,Pasar Margahayu,5.6,23.8,27.6,21.1
2025-01-19,Pasar Margahayu,2.9,23.9,28.5,21.0
2025-01-20,Pasar Margahayu,12.4,23.0,27.3,21.3
2025-01-21,Pasar Margahayu,17.6,23.3,27.5,21.2
2025-01-22,Pasar Margahayu,4.7,24.0,28.4,21.4
2025-01-23,Pasar Margahayu,4.2,24.0,28.9,20.8
2025-01-24,Pasar Margahayu,18.7,23.3,26.7,21.3
2025-01-25,Pasar Margahayu,0.9,23.5,27.3,19.9
2025-01-26,Pasar Margahayu,11.1,23.5,27.7,19.4
2025-01-27,Pasar Margahayu,0.3,23.7,27.9,19.9
2025-01-28,Pasar Margahayu,16.0,23.0,27.6,19.1
2025-01-29,Pasar Margahayu,6.8,22.6,24.4,21.4
2025-01-30,Pasar Margahayu,3.1,22.4,24.5,21.1
2025-01-31,Pasar Margahayu,2.1,23.4,26.6,21.5
2025-02-01,Pasar Margahayu,3.7,23.4,26.5,21.2
2025-02-02,Pasar Margahayu,3.4,23.9,28.2,20.9
2025-02-03,Pasar Margahayu,1.1,24.4,28.9,21.1
2025-02-04,Pasar Margahayu,0.2,24.7,28.9,20.6
2025-02-05,Pasar Margahayu,3.3,23.7,27.6,20.5
2025-02-06,Pasar Margahayu,6.1,22.7,25.2,20.8
2025-02-07,Pasar Margahayu,5.9,23.3,26.7,21.6
2025-02-08,Pasar Margahayu,6.8,22.7,26.9,18.9
2025-02-09,Pasar Margahayu,2.2,23.0,27.1,19.4
2025-02-10,Pasar Margahayu,1.4,22.9,26.8,19.6
2025-02-11,Pasar Margahayu,0.5,23.1,28.0,18.7
2025-02-12,Pasar Margahayu,0.2,23.9,30.8,17.1
2025-02-13,Pasar Margahayu,8.4,23.9,30.2,19.2
2025-02-14,Pasar Margahayu,4.3,23.5,28.8,18.9
2025-02-15,Pasar Margahayu,10.4,23.6,28.5,21.4
2025-02-16,Pasar Margahayu,7.6,23.3,28.4,18.9
2025-02-17,Pasar Margahayu,5.8,23.5,28.0,21.2
2025-02-18,Pasar Margahayu,6.7,23.4,28.5,20.7
