tanggal,pasar,komoditas,harga,curah_hujan_mm,suhu_avg,suhu_max,suhu_min,kurs_usd_idr
2024-08-22,Pasar Baleendah,BAWANG BOMBAY,35000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,BAWANG DAUN,20000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,BAWANG MERAH,24000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,BAWANG MERAH BATU,28000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,BAWANG PUTIH BIASA,40000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,BAWANG SUMENEP,35000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,CABE HIJAU BIASA,20000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,CABE MERAH KERITING,40000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,CABE MERAH TANJUNG,40000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,CABE RAWIT HIJAU,50000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,CABE RAWIT MERAH,50000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,JAGUNG MANIS,10000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,JERUK,20000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,KACANG HIJAU,28000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,KACANG TANAH KUPAS,38000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,KENTANG DIENG,20000.0,0.0,26.1,33.6,19.5,15631.0
2024-08-22,Pasar Baleendah,KETELA POHON,5000.0,0.0,26.1,33.6,19.5,15631.0
