pasar,komoditas,tanggal_anchor,harga_terakhir,tanggal_target_h1,pred_model_h1,pred_baseline_h1,mae_model_hist_h1,mae_baseline_hist_h1,model_lebih_buruk_pct_h1,tanggal_target_h3,pred_model_h3,pred_baseline_h3,mae_model_hist_h3,mae_baseline_hist_h3,model_lebih_buruk_pct_h3,tanggal_target_h7,pred_model_h7,pred_baseline_h7,mae_model_hist_h7,mae_baseline_hist_h7,model_lebih_buruk_pct_h7
Pasar Sehat Cicalengka,BAWANG SUMENEP,2026-09-10,45000.0,2026-09-11,44696,45000,619,484,28.0,2026-09-13,46768,45000,1251,979,27.7,2026-09-17,46348,45000,2000,1632,22.6
Pasar Sehat Soreang,BAWANG SUMENEP,2026-09-10,45000.0,2026-09-11,45388,45000,619,484,28.0,2026-09-13,46539,45000,1251,979,27.7,2026-09-17,45384,45000,2000,1632,22.6
Pasar Stasiun Majalaya,BAWANG SUMENEP,2026-09-10,50000.0,2026-09-11,49756,50000,619,484,28.0,2026-09-13,50155,50000,1251,979,27.7,2026-09-17,49788,50000,2000,1632,22.6
Pasar Baleendah,CABE HIJAU BIASA,2026-09-10,32000.0,2026-09-11,31990,32000,619,484,28.0,2026-09-13,31054,32000,1251,979,27.7,2026-09-17,30483,32000,2000,1632,22.6
Pasar Banjaran,CABE HIJAU BIASA,2026-09-09,28000.0,2026-09-10,27940,28000,619,484,28.0,2026-09-12,27609,28000,1251,979,27.7,2026-09-16,26636,28000,2000,1632,22.6
Pasar Baru Majalaya,CABE HIJAU BIASA,2026-09-10,30000.0,2026-09-11,30030,30000,619,484,28.0,2026-09-13,28989,30000,1251,979,27.7,2026-09-17,28598,30000,2000,1632,22.6
Pasar Cileunyi,CABE HIJAU BIASA,2026-09-10,40000.0,2026-09-11,39139,40000,619,484,28.0,2026-09-13,37868,40000,1251,979,27.7,2026-09-17,34968,40000,2000,1632,22.6
Pasar Ciwidey,CABE HIJAU BIASA,2026-09-10,26000.0,2026-09-11,25945,26000,619,484,28.0,2026-09-13,26366,26000,1251,979,27.7,2026-09-17,24743,26000,2000,1632,22.6
Pasar Margahayu,CABE HIJAU BIASA,2026-09-10,40000.0,2026-09-11,39409,40000,619,484,28.0,2026-09-13,38745,40000,1251,979,27.7,2026-09-17,37158,40000,2000,1632,22.6
Pasar Sehat Cicalengka,CABE HIJAU BIASA,2026-09-10,24000.0,2026-09-11,23947,24000,619,484,28.0,2026-09-13,24046,24000,1251,979,27.7,2026-09-17,23649,24000,2000,1632,22.6
Pasar Sehat Soreang,CABE HIJAU BIASA,2026-09-10,24000.0,2026-09-11,23939,24000,619,484,28.0,2026-09-13,23873,24000,1251,979,27.7,2026-09-17,23334,24000,2000,1632,22.6
Pasar Stasiun Majalaya,CABE HIJAU BIASA,2026-09-10,28000.0,2026-09-11,27944,28000,619,484,28.0,2026-09-13,27665,28000,1251,979,27.7,2026-09-17,26809,28000,2000,1632,22.6
Pasar Baleendah,CABE MERAH KERITING,2026-09-10,50000.0,2026-09-11,49558,50000,619,484,28.0,2026-09-13,48720,50000,1251,979,27.7,2026-09-17,48358,50000,2000,1632,22.6
Pasar Banjaran,CABE MERAH KERITING,2026-09-09,45000.0,2026-09-10,44515,45000,619,484,28.0,2026-09-12,44577,45000,1251,979,27.7,2026-09-16,41131,45000,2000,1632,22.6
Pasar Baru Majalaya,CABE MERAH KERITING,2026-09-10,40000.0,2026-09-11,39476,40000,619,484,28.0,2026-09-13,39752,40000,1251,979,27.7,2026-09-17,38650,40000,2000,1632,22.6
Pasar Cileunyi,CABE MERAH KERITING,2026-09-10,55000.0,2026-09-11,54330,55000,619,484,28.0,2026-09-13,53982,55000,1251,979,27.7,2026-09-17,52891,55000,2000,1632,22.6
Pasar Ciwidey,CABE MERAH KERITING,2026-09-10,50000.0,2026-09-11,48882,50000,619,484,28.0,2026-09-13,49790,50000,1251,979,27.7,2026-09-17,45510,50000,2000,1632,22.6
Pasar Margahayu,CABE MERAH KERITING,2026-09-10,60000.0,2026-09-11,58697,60000,619,484,28.0,2026-09-13,58035,60000,1251,979,27.7,2026-09-17,55621,60000,2000,1632,22.6
Pasar Sehat Cicalengka,CABE MERAH KERITING,2026-09-10,55000.0,2026-09-11,54488,55000,619,484,28.0,2026-09-13,54697,55000,1251,979,27.7,2026-09-17,50682,55000,2000,1632,22.6
Pasar Sehat Soreang,CABE MERAH KERITING,2026-09-10,55000.0,2026-09-11,54282,55000,619,484,28.0,2026-09-13,51550,55000,1251,979,27.7,2026-09-17,49959,55000,2000,1632,22.6
Pasar Stasiun Majalaya,CABE MERAH KERITING,2026-09-10,50000.0,2026-09-11,49870,50000,619,484,28.0,2026-09-13,48223,50000,1251,979,27.7,2026-09-17,49555,50000,2000,1632,22.6
Pasar Baleendah,CABE MERAH TANJUNG,2026-09-10,75000.0,2026-09-11,74927,75000,619,484,28.0,2026-09-13,73723,75000,1251,979,27.7,2026-09-17,70998,75000,2000,1632,22.6
