horizon,n_baris,mae_model,mape_model,mae_baseline,mape_baseline,model_menang
H+1,11516,687.5619156812784,1.9414695541584612,477.3806877387982,1.48784797778933,False
H+2,11113,1048.1893420951303,2.9792700174479365,738.3259245928192,2.302262430712718,False
H+3,11063,1318.0549802534338,3.7458959639130622,964.251649642954,2.9583285596299924,False
